AC_NO,AC_NAME,is_contiguous,part_count,convex_hull_ratio,convex_hull_ratio_category,polsby_popper_score,polsby_popper_category,area_m2,perimeter_m,hull_area_m2
108,BOKAJAN (ST),True,1,0.8372100633180173,Very High,0.20508235974411212,Low,2151622853.502153,363097.9971058154,2569991627.877568
109,HOWARGHAT (ST),True,1,0.5845560849373166,Moderate,0.07925005370263039,Very Low,2410467052.836503,618238.0766447962,4123585597.5992165
110,DIPHU (ST),False,3,0.7887313651841126,High,0.2658881600931205,Low,2755322331.2599626,360862.40456019697,3493359656.892548
111,RONGKHANG (ST),True,1,0.7003695310530412,High,0.18970279246880647,Very Low,758150887.3484786,224102.0833236311,1082501242.1779115
112,AMRI (ST),False,3,0.7167720619528464,High,0.24427408460883676,Low,2325909350.94884,345909.6095577897,3244977691.529853
113,HAFLONG (ST),True,1,0.7826049918744611,High,0.2916130105306021,Low,4884617895.507163,458792.9987722909,6241485738.300418
114,LAKHIPUR,True,1,0.7493551760085155,High,0.19553930190254934,Very Low,676961625.9821473,208578.6861015234,903392206.6009116
115,UDHARBOND,True,1,0.7855794738521263,High,0.2510386069970255,Low,494064481.14565885,157262.97618061732,628917248.4649963
116,KATIGORAH,True,1,0.6831761643567507,High,0.1825670237167265,Very Low,811957826.1919965,236407.09171267707,1188504325.171387
117,BARKHOLA,True,1,0.5380011355191058,Moderate,0.1085121793942346,Very Low,472263702.6964937,233861.09178892302,877811721.049281
118,SILCHAR,False,2,0.7464758512188998,High,0.30962884316476175,Low,80577377.43230523,57186.141038810114,107943716.19756038
119,SONAI,True,1,0.6696190994109522,High,0.13442834126880024,Very Low,245725151.6460852,151559.9027626395,366962578.96801883
120,DHOLAI (SC),False,8,0.702174471993689,High,0.2227441600128008,Low,988257151.8421881,236122.16238514075,1407423925.6181195
121,HAILAKANDI,False,2,0.4774462705928005,Moderate,0.05494566197915445,Very Low,646726473.6722612,384590.4949123119,1354553409.4742877
122,ALGAPUR-KATLICHERRA,True,1,0.5991249021716935,Moderate,0.06766804574514866,Very Low,703636857.0589719,361482.6063307127,1174441013.0649652
123,KARIMGANJ NORTH,True,1,0.4827478372996126,Moderate,0.05722387938110667,Very Low,258563775.81308278,238286.87637484257,535608356.6514411
124,KARIMGANJ SOUTH,True,1,0.5668449442403608,Moderate,0.05904814494068443,Very Low,370153336.5210701,280667.83010708995,653006329.6535516
125,PATHARKANDI,False,6,0.6820936123853185,High,0.187029145071568,Very Low,531338833.70646536,188945.28842994338,778982274.6592575
126,RAM KRISHANA NAGAR (SC),True,1,0.756289994846389,High,0.19693330294956551,Very Low,668714238.256296,206569.23192276133,884203470.643717
