AC_NO,AC_NAME,is_contiguous,part_count,convex_hull_ratio,convex_hull_ratio_category,polsby_popper_score,polsby_popper_category,area_m2,perimeter_m,hull_area_m2
115,Moran,True,1,0.7094381470141368,High,0.25915941731872877,Low,937402445.3490008,213198.66241620405,1321330759.128634
116,Dibrugarh,True,1,0.7296523605994903,High,0.3758972663284163,Low,452135056.0297755,122943.17905526601,619658183.0534974
117,Lahowal,True,1,0.7922902518185029,High,0.3723638407781502,Low,412404246.4537067,117973.0331879354,520521671.83319056
118,Duliajan,True,1,0.6354713489447564,High,0.2618200078189773,Low,459958485.15494955,148580.84836713993,723806802.4919487
119,Tingkhong,True,1,0.7821039635666952,High,0.3106449917952176,Low,513920451.18580914,144185.20661854328,657099919.0978831
120,Naharkatia,True,1,0.6653154538180055,High,0.23213594541640112,Low,396519541.5600495,146509.58305189852,595987270.8270442
121,Chabua,True,1,0.8075087780528764,Very High,0.4332668816863445,Moderate,615528556.1354496,133613.79158837648,762256179.5794427
122,Tinsukia,True,1,0.589803078075446,Moderate,0.2890648518368913,Low,491049518.13667345,146106.63301690444,832565200.8107352
123,Digboi,True,1,0.6263558848738598,High,0.31750622876710155,Low,455599340.81139433,134282.7883623555,727380953.5662721
124,Margherita,True,1,0.6971558680355208,High,0.22592584846199773,Low,809102180.4378415,212140.53355567652,1160575729.955151
125,Doom Dooma,True,1,0.6647697058661388,High,0.24938657160734465,Low,295004286.689176,121922.13608489255,443769149.0541229
126,Sadiya,True,1,0.8355293072622045,Very High,0.374559519754276,Low,1327196308.9483185,211014.40073582635,1588449737.6844494
